PE-MC-RS485-S_V1.1.2
2018.10.10.

1. 위치, 속도제어
ID2, Kp244, ki244, kd244, 8.0A: FFFE0206A805FEFEFE50
ID3, Kp244, ki244, kd244, 8.0A: FFFE0306A705FEFEFE50
ID3, Kp80, ki0, kd0, 24.4A: FFFE0306A305500000FE
ID4, Kp244, ki244, kd244, 8.0A: FFFE0406A605FEFEFE50
ID4, Kp80, ki0, kd0, 24.4A: FFFE0406A205500000FE

6. ID 설정
ID0, ID0: FFFE0003F60600
ID0, ID1: FFFE0003F50601
ID0, ID2: FFFE0003F40602
ID0, ID3: FFFE0003F30603
ID0, ID4: FFFE0003F20604
ID1, ID0: FFFE0103F50600
ID1, ID0: FFFE0103F10604
ID2, ID0: FFFE0203F40600

7. 통신속도 설정
ID0, 600bps: FFFE0003F40701
ID0, 1200bps: FFFE0003F30702
ID0, 2400bps: FFFE0003F20703
ID0, 9600bps: FFFE0003F00705
ID0, 115200bps: FFFE0003EB070A
ID1, 115200bps: FFFE0103EA070A
ID2, 115200bps: FFFE0203E9070A
ID3, 115200bps: FFFE0303E8070A
ID4, 115200bps: FFFE0403E7070A

8. 통신 응답시간 설정
ID0, 100us: FFFE0003F30801
ID0, 200us: FFFE0003F20802
ID0, 500us: FFFE0003EF0805
ID0, 800us: FFFE0003EC0808
ID0, 900us: FFFE0003EB0809
ID0, 1000us: FFFE0003EA080A
ID0, 1100us: FFFE0003E9080B
ID0, 1500us: FFFE0003E5080F
ID0, 25400us: FFFE0003F608FE
ID0, 25500us: FFFE0003F508FF
ID1, 200us: FFFE0103F10802
ID1, 1000us: FFFE0103E9080A

9. 모터 정격속도 설정
ID0, 0RPM: FFFE0004F2090000
ID0, 2000RPM: FFFE00041B0907D0
ID0, 3000RPM: FFFE00042F090BB8
ID0, 65534RPM: FFFE0004F509FFFE

10. 분해능 설정
ID0, 0Pulse: FFFE0004F10A0000
ID0, 4Pulse: FFFE0004ED0A0004
ID0, 8Pulse: FFFE0004E90A0008
ID0, 10Pulse: FFFE0004E70A000A
ID0, 13Pulse: FFFE0004E40A000D
ID0, 19Pulse: FFFE0004DE0A0013
ID0, 20Pulse: FFFE0004DD0A0014
ID0, 38Pulse: FFFE0004CB0A0026
ID0, 5000Pulse: FFFE0004560A1388
ID0, 65534Pulse: FFFE0004F40AFFFE

01040A0020
FFFE0104D00A0020

11. 감속비 설정
ID0, 0: FFFE0004F00B0000
ID0, 1: FFFE0004E60B000A
ID0, 2: FFFE0004DC0B0014
IDO, 2.5: FFFE0004D70B0019
ID0, 5.5: FFFE0004B90B0037
IDO, 8: FFFE0004A00B0050
IDO, 9: FFFE0004960B005A
IDO, 9.5: FFFE0004910B005F
ID0, 10: FFFE00048C0B0064
ID0, 20: FFFE0004280B00C8
ID0, 6553.4: FFFE0004F30BFFFE
ID1, 1: FFFE0104E50B000A
ID1, 2.5: FFFE0104D60B0019
ID1, 0.2: FFFE0104ED0B0002
ID2, 2.5: FFFE0204D50B0019

12. 제어 On/Off 설정
ID0, On: FFFE0003F00C00
ID0, Off: FFFE0003EF0C01

13. 위치제어 모드 설정
ID0, 절대 위치제어: FFFE0003EF0D00
ID0, 상대 위치제어: FFFE0003EE0D01

14. 위치 초기화
ID0: FFFE0002EF0E

15. 
ID0: FFFE0003ED0F00
ID0: FFFE0003EC0F01

15. 공장 초기화: FFFEFF02EF0F

16. 피드백 요청
ID0, Ping: FFFE00025DA0
ID1, Ping: FFFE01025CA0
ID2, Ping: FFFE02025BA0
ID3, Ping: FFFE03025AA0
ID4, Ping: FFFE040259A0
ID0, 위치 피드백: FFFE00025CA1
ID1, 위치 피드백: FFFE01025BA1
ID2, 위치 피드백: FFFE02025AA1
ID3, 위치 피드백: FFFE030259A1
ID4, 위치 피드백: FFFE040258A1
ID0, 속도 피드백: FFFE00025BA2
ID0, 위치제어기 피드백: FFFE00025AA3
ID1, 위치제어기 피드백: FFFE010259A3
ID2, 위치제어기 피드백: FFFE020258A3
ID3, 위치제어기 피드백: FFFE030257A3
ID4, 위치제어기 피드백: FFFE040256A3
ID0, 속도제어기 피드백: FFFE000259A4
ID1, 속도제어기 피드백: FFFE010258A4
ID2, 속도제어기 피드백: FFFE020257A4
ID3, 속도제어기 피드백: FFFE030256A4
ID4, 속도제어기 피드백: FFFE040255A4
ID0, 통신 응답시간 피드백: FFFE000258A5
ID1, 통신 응답시간 피드백: FFFE010257A5
ID0, 모터 정격속도 피드백: FFFE000257A6
ID0, 분해능 피드백: FFFE000256A7
ID1, 분해능 피드백: FFFE010255A7
ID0, 감속비 피드백: FFFE000255A8
ID1, 감속비 피드백: FFFE010254A8
ID2, 감속비 피드백: FFFE020253A8
ID0, 제어 On/Off 피드백: FFFE000254A9
ID0, 위치제어 모드 피드백: FFFE000253AA
ID0, : FFFE000252AB
ID0, 펌웨어 버전 피드백: FFFE000230CD
